"","ID","GB_ACC","Representative.Public.ID","Gene.Title","Gene.Symbol","ENTREZ_GENE_ID","GSM9098","GSM9099","GSM9100","GSM9101","GSM9102"
"1","1007_s_at","U48705","U48705","discoidin domain receptor tyrosine kinase 1 /// microRNA 4640","DDR1 /// MIR4640","780 /// 100616237","258.9","241.8","213.8","298.1","232.2"
"2","1053_at","M87338","M87338","replication factor C (activator 1) 2, 40kDa","RFC2","5982","53.7","40.4","47.8","45.3","36"
"3","117_at","X51757","X51757","heat shock 70kDa protein 6 (HSP70B')","HSPA6","3310","66.5","30.3","59.7","54.3","59.1"
"4","121_at","X69699","X69699","paired box 8","PAX8","7849","425.5","479.3","235.3","417.7","342.3"
"5","1255_g_at","L36861","L36861","guanylate cyclase activator 1A (retina)","GUCA1A","2978","17.8","28.6","8","38.4","19.2"
"6","1294_at","L13852","L13852","microRNA 5193 /// ubiquitin-like modifier activating enzyme 7","MIR5193 /// UBA7","7318 /// 100847079","203.8","162","164.9","146.4","187.4"
"7","1316_at","X55005","X55005","thyroid hormone receptor, alpha","THRA","7067","35.1","50","43.2","56.4","22.1"
"8","1320_at","X79510","X79510","protein tyrosine phosphatase, non-receptor type 21","PTPN21","11099","65.6","66.6","70.1","83.5","64"
"9","1405_i_at","M21121","M21121","chemokine (C-C motif) ligand 5","CCL5","6352","29.5","10.5","12.5","17.3","20.5"
"10","1431_at","J02843","J02843","cytochrome P450, family 2, subfamily E, polypeptide 1","CYP2E1","1571","24","31.6","22.7","38.5","19.2"
"11","1438_at","X75208","X75208","EPH receptor B3","EPHB3","2049","86","49.3","54.6","119.7","103.5"
"12","1487_at","L38487","L38487","estrogen-related receptor alpha","ESRRA","2101","116.2","67.6","107.6","161","95.1"
"13","1494_f_at","M33318","M33318","cytochrome P450, family 2, subfamily A, polypeptide 6","CYP2A6","1548","118.6","54.3","51.5","73.5","43.4"
"14","1598_g_at","L13720","L13720","growth arrest-specific 6","GAS6","2621","1489.2","1203","1921.1","1258.5","1649.2"
"15","160020_at","Z48481","Z48481","matrix metallopeptidase 14 (membrane-inserted)","MMP14","4323","333.4","342.7","485.4","307.3","222.1"
"16","1729_at","L41690","L41690","TNFRSF1A-associated via death domain","TRADD","8717","125.9","119.6","162.3","107.9","105.2"
"17","177_at","U38545","U38545","phospholipase D1, phosphatidylcholine-specific","PLD1","5337","38","24","42.4","53.1","40.1"
"18","1773_at","L00635","L00635","CHURC1-FNTB readthrough /// farnesyltransferase, CAAX box, beta","CHURC1-FNTB /// FNTB","2342 /// 100529261","62.6","48.1","58.7","66.6","49.8"
